feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11
0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34
0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89
0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45
0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78
0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12
0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23
0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56
0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90
0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11
0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34
0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89
0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45
0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78
0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12
0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23
0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56
0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90
0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11
0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34
0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89
0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45
0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78
0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12
0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23
0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56
0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90
0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11
0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34
0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89
0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45
0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78
0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12
0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11,0.23
0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56
0.11,0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90
0.23,0.45,0.67,0.89,0.12,0.34,0.56,0.78,0.90,0.11
0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89,0.12,0.34
0.12,0.34,0.56,0.78,0.90,0.11,0.23,0.45,0.67,0.89
